time,flux
1501.2438839060542,1.0025698
1501.264717350087,1.0071559
1501.2855507930979,1.00587
1501.306384234962,1.0097536
1501.3272176757973,1.0142694
1501.3480511154755,1.0063618
1501.3688845541146,1.0053387
1501.389717991588,1.0082443
1501.4105514280136,1.0091606
1501.4313848632628,1.0085642
1501.452218297456,1.01261
1501.4730517304615,1.0065886
1501.4938851623995,1.0071846
1501.514718593141,1.0052284
1501.5355520228056,1.0079942
1501.5563854512618,1.011036
1501.5772188786323,1.0081226
1501.5980523047813,1.0126481
1501.6188857298332,1.0099049
1501.6397191536528,1.0037622
1501.6605525763653,1.0052637
1501.681385997832,1.0105865
1501.7022194181795,1.0098405
1501.7230528372697,1.0056667
1501.7438862552278,1.0107838
1501.7647196719172,1.0047896
1501.7855530874633,1.0092292
1501.8063865017255,1.0024276
1501.8272199148307,0.99879515
1501.8480533266402,1.0024419
1501.8688867372782,1.0050969
1501.8897201466066,1.0073537
1501.9105535547517,1.0052733
1501.9313869615687,1.0090257
1501.952220367191,1.0077516
1501.9730537714709,1.0083258
1501.9938871745403,1.0045656
1502.0147205762526,1.0058923
1502.0355539767393,1.0030744
1502.0563873758508,1.0085299
1502.0772207737227,1.0042518
1502.0980541702036,1.0090425
1502.1188875654284,1.0057282
1502.1397209592421,1.0075315
1502.160554351786,1.0083181
1502.181387742902,1.0051078
1502.2022211327305,1.0035516
1502.2230545211132,1.0119977
1502.2438879081897,1.0106137
1502.264721293802,1.0070338
1502.285554678092,1.011408
1502.3063880608956,1.0036882
1502.3272214423591,1.0102397
1502.3480548223176,1.0075777
1502.3688882009192,1.0114428
1502.389721577993,1.0088876
1502.4105549536903,1.0054232
1502.4313883278398,1.004808
1502.4522217005938,1.0080316
1502.473055071779,1.015837
1502.4938884415487,1.0100527
1502.514721809726,1.0109663
1502.53555517647,1.010917
1502.5563885416009,1.0079484
1502.5772219052774,1.0078566
1502.59805526732,1.0102948
1502.618888627888,1.0070829
1502.639721986799,1.0087711
1502.6605553442184,1.0106524
1502.681388699956,1.0046431
